01  农业产品
        0115040100	香石竹种苗
        0115040200	菊花种苗
        0115040300	非洲菊种苗
        0115040400	月季种苗
        0115040500	火鹤种苗
        0115040600	兰花种苗
        0115040700	君子兰种苗
        0115049900	其他花卉种苗
0116	水果及坚果
    011601	水果（园林水果）
        01160101	苹果
            0116010101	红富士苹果
            0116010102	国光苹果
            0116010103	秦冠苹果
            0116010104	香蕉苹果
            0116010105	金冠苹果
            0116010106	元帅苹果
            0116010107	新红星苹果
            0116010199	其他苹果
        01160102	梨
            0116010201	雪花梨
            0116010202	鸭梨
            0116010203	酥梨
            0116010204	香梨
            0116010205	苹果梨
            0116010206	黄冠梨
            0116010207	绿宝石梨
            0116010208	冬果梨
            0116010209	贡梨
            0116010210	黄花梨
            0116010299	其他梨
        01160103	柑橘类水果
            0116010301	柑橘
            0116010302	橙
            0116010303	宽皮柑橘
            0116010304	柚类
            0116010305	金柑
            0116010399	其他柑橘类水果
        01160104	葡萄
            0116010401	巨峰葡萄
            0116010402	玫瑰香葡萄
            0116010403	白葡萄
            0116010404	龙眼葡萄
            0116010405	木纳格葡萄
            0116010406	红提葡萄
            0116010407	酿造葡萄
            0116010499	其他葡萄
        01160105	热带水果
            0116010501	香蕉	　包括芭蕉
            0116010502	菠萝
            0116010503	龙眼
            0116010504	荔枝
            0116010505	枇杷
            0116010506	红毛丹
            0116010507	芒果
            0116010508	橄榄
            0116010509	无花果
            0116010510	鳄梨
            0116010511	番石榴
            0116010512	山竹果
            0116010513	杨桃
            0116010514	莲雾
            0116010515	火龙果
            0116010599	其他热带水果
        01160106	瓜类水果
            0116010601	西瓜
            0116010602	哈密瓜
            0116010603	华莱士瓜
            0116010604	香瓜
            0116010605	伊利沙白瓜
            0116010606	金瓜
            0116010607	木瓜
            0116010699	其他瓜类水果
        01160199	其他水果
    011602	干制水果及水果籽
        01160201	干制水果
            0116020101	葡萄干
            0116020102	杏干
            0116020103	梅干及李干
            0116020104	苹果干
            0116020105	龙眼干、肉
            0116020106	柿饼
            0116020107	干枣
            0116020108	椰子干
            0116020109	荔枝干
            0116020199	其他干制水果
        01160202	水果籽
            0116020201	杏核
            0116020202	葡萄籽
            0116020299	其他水果籽
    011603	食用坚果
        01160301	椰子
        01160302	腰果
        01160303	核桃
        01160304	山核桃
        01160305	栗子
        01160306	松子
        01160307	榛子
        01160308	阿月浑子果（开心果）
        01160309	槟榔
        01160310	白果
        01160311	香榧
        01160312	巴旦杏
        01160313	夏威夷果
        01160399	其他食用坚果
0117	茶及饮料原料
    011701	茶叶
        01170101	红茶
        01170102	绿茶
        01170103	白茶
        01170104	黄茶
        01170105	清茶
            0117010501	铁观音
            0117010502	乌龙茶
            0117010599	其他清茶
        01170106	黑茶
            0117010601	普洱茶
            0117010699	其他黑茶
        01170107	再加工茶
            0117010701	银杏茶
            0117010799	其他再加工茶
        01170199	其他茶叶
    011799	其他饮料原料
        01179901	可可豆
        01179902	咖啡豆
        01179999	其他未列明饮料原料
0118	香料原料
    011801	调味香料
        01180101	花椒
        01180102	胡椒
        01180103	八椒
        01180104	桂皮
        01180105	桂花
        01180106	丁香
        01180107	豆蔻
        01180108	小茴香
        01180109	咖喱
        01180110	枯茗子
        01180111	蒿子
        01180112	杜松果
        01180199	其他调味香料
    011802	香味料
        01180201	香子兰
        01180202	香茅草
        01180203	薄菏油
        01180204	留兰香
        01180205	啤酒花
        01180206	番红花
        01180207	姜黄
        01180208	麝香草
        01180209	月桂叶
        01180299	其他香味料
0119	中草药材
    011901 	甘草
    011902 	人参
    011903 	古柯叶
    011904 	罂粟杆
    011905 	当归
    011906 	田七
    011907 	党参
    011908 	黄连
    011909 	菊花
    011910	冬虫夏草
    011911 	贝母
    011912 	川芎
    011913 	半夏
    011914 	白芍
    011915 	天麻
    011916 	黄芪
    011917 	大黄、籽黄
    011918 	白术
    011919 	地黄
    011920	槐米
    011921 	杜仲
    011922 	茯苓
    011923 	枸杞
    011924 	大海子
    011925 	沉香
    011926 	沙参
    011927 	青蒿
    011928 	鱼藤根
    011929 	除虫菊
    011930	灵芝
    011931 	五味子
    011932 	刺五加
    011933 	生地
    011934 	麦冬
    011935 	云木香
    011936 	白芷
    011937 	元胡
    011938 	山茱萸
    011939 	莲翘
    011940	辛荑
    011941 	厚朴
    011942 	黄芩
    011943 	葛根
    011944 	柴胡
    011945 	麻黄
    011946 	列当
    011947 	肉苁蓉
    011948 	锁阳
    011949 	罗布麻
    011999 	其他中草药材
0120    食用菌
    012001	平菇
    012002	金针菇
    012003	双孢蘑菇
    012004	鸡腿菇
    012005	杏鲍菇
    012006	茶树菇
    012007	滑菇
    012008	草菇
    012009	猴头菌
    012010	香菇
    012011	竹荪
    012012	黑木耳
    012013	黄背木耳
    012014	白木耳
    012015	松茸
    012016	榛蘑
    012017	灰树花
    012099	其他食用菌

02 林业产品
0201	育种和育苗
    020101	林木种子
        02010101	针叶乔木树种种子
            0201010101	杉树种子
            0201010102	柏树种子
            0201010103	松树种子
            0201010104	银杏种子
            0201010199	其他针叶乔木树种种子
        02010102	阔叶乔木树种种子
            0201010201	槭树类种子
            0201010202	枫树类种子
            0201010203	冬青树类种子
            0201010204	桦树类种子
            0201010205	木棉树类种子
            0201010206	榛树类种子
            0201010207	榆树类种子
            0201010208	楠木类种子
            0201010209	樟树类种子
            0201010210	相思类种子
            0201010211	壳斗科类种子
            0201010299	其他阔叶乔木树种种子
        02010199	其他林木种子
    020102	灌木、藤木，相关林木种子
        02010201	灌木种子
            0201020101	蕃荔枝类灌木种子
            0201020102	夹竹桃类灌木种子
            0201020103	冬青类灌木种子
            0201020104	小檗类灌木种子
            0201020105	榛树类灌木种子
            0201020106	胡枝子灌木种子
            0201020107	沙棘类灌木种子
            0201020108	马棘类灌木种子
            0201020199	其他灌木种子
        02010202	藤木种子
            0201020201	棕榈藤种子
            0201020299	其他藤木种子
        02010299	其他相关林木种子
    020103	苗木类
        02010301	针叶乔木苗类
            0201030101	杉树树苗
            0201030102	柏树树苗
            0201030103	松树树苗
            0201030104	银杏树苗
            0201030199	其他针叶乔木树苗
        02010302	阔叶乔木苗类
            0201030201	槭树类树苗
            0201030202	枫树类树苗
